DOI,Paper title,Abstract,Journal,URL,Functions,PDF,Press release
,,,The Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902996788,"Attach a functional group,Attach permanently,Attach temporarily,Catalyze chemical breakdown,Chemically assemble polymers,Modify oxidation state,Protect from microbes",,
,,,The Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902996788,"Catalyze chemical breakdown,Chemically assemble polymers",,
,,,"Journal of Adhesion,Macromolecular Bioscience",https://www.tandfonline.com/doi/abs/10.1080/00218460902996457,"Attach permanently,Physically assemble structure",,https://www.eurekalert.org/pub_releases/2008-11/uou-sft112408.php
,,,The Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902996358,"Attach permanently,Attach temporarily,Modify material characteristics",,
,,,Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902782071,"Attach permanently,Protect from animals,Protect from chemicals,Protect from ice,Protect from loss of liquids,Protect from microbes",,
,,,"The grand design: Form and colour in animals,Bird Study,Ibis",https://www.tandfonline.com/doi/abs/10.1080/00063657309476382 https://onlinelibrary.wiley.com/doi/abs/10.1111/ibi.12272,"Capture bulk solids,Move in/on liquids,""Capture, absorb, or filter organisms""",,
,,,"Annals of Science,""Principles of Animal Communication, Second Edition"",Nature communications",https://www.tandfonline.com/doi/abs/10.1080/00033796800200111 https://www.nature.com/articles/ncomms7368,,,http://www.chameleonnews.com/04NovAndersonColor.html
,,,Ethology Ecology & Evolution,https://www.tandfonline.com/doi/abs/10.1080/08927014.1998.9522865,"Chemically break down organic compounds,Protect from excess liquids",,
,,,"Animal Architects: Building and the Evolution of Intelligence,Bird Nests and Construction Behavior,Ostrich: Journal of African Ornithology",https://www.tandfonline.com/doi/abs/10.1080/00306525.1969.9639116,Physically assemble structure,,
,,,"Mycologia,Neotyphodium in Cool-Season Grasses",https://www.tandfonline.com/doi/abs/10.1080/00275514.1998.12026945,"Cooperate/compete between different species,Protect from fire",,
,,,"Environmental Practice,Biological Bulletin,Swimming and Flying in Nature",https://www.tandfonline.com/doi/abs/10.1017/S1466046603030035 https://www.journals.uchicago.edu/doi/10.2307/1540846,Move in/on liquids,,
,,,"Oncology Letters,Journal of Physical Chemistry A,Nature",https://www.spandidos-publications.com/ol/1/4/673 https://pubs.acs.org/doi/10.1021/jp809138s https://www.nature.com/articles/429363a,"Protect from light,Protect from microbes",,
,,,International Journal of Molecular Medicine,https://www.spandidos-publications.com/10.3892/ijmm.2016.2723,"Chemically break down polymers,Modify material characteristics,Regulate reproduction or growth",,
,,,Environmental Science,https://www.semanticscholar.org/paper/Arsenic-hyperaccumulating-ferns-and-their-to-of-Rathinasabapathi-Ma/36f64296e760af7924d99b00bd9554cf1bfe94ad,"Modify oxidation state,Protect from chemicals",,
,,,"AoB Plants,New Phytologist,Scientific Reports",,"Cooperate within an ecosystem,Cooperate/compete between different species,Distribute liquids,Distribute solids,""Send chemical signals (odor, taste, etc.)"",Protect from animals",,"https://www.natureconservancy.ca/en/blog/archive/conversations-in-the-forest.html
https://www.theatlantic.com/science/archive/2016/04/the-wood-wide-web/478224/"
,,,Science,https://www.sciencemag.org/news/2011/11/leonardos-formula-explains-why-trees-dont-splinter,Protect from wind,,https://www.sciencemag.org/news/2011/11/leonardos-formula-explains-why-trees-dont-splinter
,,,Journal of Mechanical Behavior of Biomedical Materials,https://www.sciencedirect.com/science/article/pii/S1751616117300267?via%3Dihub,,,
,,,"Journal of Mechanical Behavior of Biomedical Materials,Nature communications,Bioinspiration & Biomimetics,Comparative Biomechanics: Life's Physical World",https://www.sciencedirect.com/science/article/pii/S1751616112002482?via%3Dihub https://www.nature.com/articles/ncomms4166 https://iopscience.iop.org/article/10.1088/1748-3182/5/3/035001 ,"Manage compression,Prevent fracture/rupture",,
,,,Parasitology International,https://www.sciencedirect.com/science/article/pii/S1383576907001298?via%3Dihub,"Chemically assemble mineral crystals,Protect from chemicals",,
,,,"Comparative Biomechanics: Life's Physical World,Materials Today",https://www.sciencedirect.com/science/article/pii/S1369702102012373?via%3Dihub,"Manage compression,Manage impact,Prevent buckling",,
,,,Current Opinion in Plant Biology,https://www.sciencedirect.com/science/article/pii/S1369526607000398?via%3Dihub,"Chemically assemble polymers,Protect from excess liquids",,
,,,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,https://www.sciencedirect.com/science/article/pii/S1095643306000511,Maintain homeostasis,,
,,,"Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Gene",https://www.sciencedirect.com/science/article/pii/S1095643303003155?via%3Dihub https://www.sciencedirect.com/science/article/abs/pii/S0378111908003387?via%3Dihub,"Maintain homeostasis,Protect from temperature,Regulate cellular processes",,
,,,Journal of Structural Biology,https://www.sciencedirect.com/science/article/pii/S1047847711002346?via%3Dihub,"Chemically assemble mineral crystals,""Modify concentration (of ions, solutes, etc)""",,
,,,Journal of Structural Biology,https://www.sciencedirect.com/science/article/pii/S1047847711002012?via%3Dihub,"Chemically assemble mineral crystals,Physically assemble structure",,
,,,"Journal of Structural Biology,Biophysical Journal,Science,Comparative Biomechanics: Life's Physical World",https://www.sciencedirect.com/science/article/pii/S1047847706003352?via%3Dihub https://www.cell.com/biophysj/fulltext/S0006-3495(06)72331-1 https://science.sciencemag.org/content/328/5975/216 ,"Manage mechanical wear,Manage tension,Modify material characteristics,Prevent deformation",,https://www.sciencedaily.com/releases/2010/03/100304142234.htm
,,,"Journal of Structural Biology,Science,Journal of Materials Science",,,,https://issuu.com/eggermont/docs/zq_issue_09_final/10
,,,"Journal of Structural Biology,Courtesy of the Biomimicry Guild",https://www.sciencedirect.com/science/article/pii/S1047847703001424,Protect from temperature,,
,,,"Comparative Biomechanics: Life's Physical World,Current Biology",https://www.sciencedirect.com/science/article/pii/S0960982202008060?via%3Dihub#FIG2 https://www.sciencedirect.com/science/article/pii/S0960982200007648#FIG1,Move in/on solids,,
,,,"Comparative Biomechanics: Life's Physical World,Current Biology",https://www.sciencedirect.com/science/article/pii/S0960982200007648 https://pubmed.ncbi.nlm.nih.gov/11967173/,Move in/on solids,,
,,,Colloids and Surfaces A: Physiochemical and Engineering Aspects,https://www.sciencedirect.com/science/article/pii/S0927775716305106?via%3Dihub,,,
,,,Solar Energy Materials and Solar Cells,https://www.sciencedirect.com/science/article/pii/S0927024808002729?via%3Dihub,"Protect from light,Protect from temperature",,
,,,Progress in Organic Coatings,https://www.sciencedirect.com/science/article/pii/S0300944006002657,"Protect from light,""Capture, absorb, or filter energy""",,
,,,Progress in Organic Coatings,https://www.sciencedirect.com/science/article/pii/S0300944006002657,,,
,,,South African Journal of Botany,https://www.sciencedirect.com/science/article/pii/S0254629913002408,"Adapt phenotype,Regulate cellular processes",,
,,,Journal of Plant Physiology,https://www.sciencedirect.com/science/article/pii/S0176161705004529?via%3Dihub,Protect from excess liquids,,
,,,Journal of Biotechnology,https://www.sciencedirect.com/science/article/pii/S0168165607012059?via%3Dihub,Chemically assemble polymers,,
,,,"Materials Today,Nature",https://www.sciencedirect.com/science/article/pii/S136970211070016X?via%3Dihub https://www.nature.com/articles/nature09686,"Chemically assemble mineral crystals,Manage mechanical wear,Manage shear",,
,,,Zoologischer Anzeiger - A Journal of Comparative Zoology,https://www.sciencedirect.com/science/article/pii/S0044523105000616?via%3Dihub,Attach temporarily,,
,,,Journal of Experimental Marine Biology and Ecology,https://www.sciencedirect.com/science/article/pii/S0022098110000948?via%3Dihub,"Modify light/color,Protect from animals,Send light signals in the visible spectrum,""Capture, absorb, or filter organisms""",,https://www.seeker.com/sharks-can-become-invisible-1765059282.html
,,,Journal of Experimental Marine Biology and Ecology,https://www.sciencedirect.com/science/article/pii/S0022098108004085,"Distribute energy,""Capture, absorb, or filter energy""",,
,,,Biophysical Journal,https://www.sciencedirect.com/science/article/pii/S0006349508786247,Manage compression,,
,,,"Biochimica et Biophysica Acta (BBA),Nature,Biology of Plants",https://www.sciencedirect.com/science/article/pii/S0005272801002031 https://www.nature.com/articles/353737a0,"""Capture, absorb, or filter energy""",,
,,,Animal Behaviour,https://www.sciencedirect.com/science/article/pii/S0003347214002747,Coordinate by self-organization,,
,,,"Journal of Investigative Dermatology,The grand design: Form and colour in animals",https://www.sciencedirect.com/science/article/pii/S0022202X15309933,"Manage mechanical wear,Prevent deformation,Protect from excess liquids,Protect from loss of liquids",,
,,,"Seed Biology,Canadian Journal of Botany",https://www.sciencedirect.com/science/article/pii/B9780124243019500103?via%3Dihub https://www.nrcresearchpress.com/doi/10.1139/b72-179,"Distribute solids,Modify position,Modify speed,Move in/through gases",,
,,,Cell Physiology Source Book (Fourth Edition),https://www.sciencedirect.com/science/article/pii/B978012387738300041X,,,
,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Marine Biology and Ecology,Journal of Experimental Biology (JEB)",https://www.sciencedirect.com/science/article/pii/0022098192902386?via%3Dihub https://www.ncbi.nlm.nih.gov/pubmed/11893768,"Attach permanently,Attach temporarily",,
,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Marine Biology and Ecology",https://www.sciencedirect.com/science/article/pii/002209819190254T?via%3Dihub,"Manage compression,Manage shear,Manage tension",,
,,,Acta Biomaterialia,https://www.sciencedirect.com/science/article/abs/pii/S1742706116302409?via%3Dihub,"Manage compression,Manage shear,Manage tension,Move in/through gases",,
,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652909602171,"Manage mechanical wear,Protect from dirt/solids",,
,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652907600109,"Protect from dirt/solids,Protect from excess liquids",,
,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652907600067,"Manage mechanical wear,Move in/on solids",,
,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652907600018,Protect from dirt/solids,,
,,,Biochimica et Biophysica Acta (BBA),https://www.sciencedirect.com/science/article/abs/pii/S1570963908002574?via%3Dihub,Transform chemical energy,,
,,,Arthropod Structure & Development,https://www.sciencedirect.com/science/article/abs/pii/S1467803906000557?via%3Dihub,"Modify light/color,Send light signals in the visible spectrum",,
,,,"Arthropod Structure & Development,British Medical Bulletin,""Journal of the Minerals, Metals & Materials Society (JOM)""",https://www.sciencedirect.com/science/article/abs/pii/S1467803904000325?via%3Dihub https://academic.oup.com/bmb/article-abstract/24/2/130/258736 https://link.springer.com/article/10.1007%2FBF03220386,"Protect from excess liquids,Protect from loss of liquids",,
,,,Microporous and Mesoporous Materials,https://www.sciencedirect.com/science/article/abs/pii/S1387181111005907?via%3Dihub,"Catalyze chemical breakdown,""Capture, absorb, or filter energy""",,
,,,Acta Biomaterialia,https://www.sciencedirect.com/science/article/abs/pii/S1359645405004647?via%3Dihub,Manage impact,,http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=417
,,,"Current Opinion in Solid State and Materials Science,Applied Physics Letters",https://www.sciencedirect.com/science/article/abs/pii/S1359028604000063?via%3Dihub https://aip.scitation.org/doi/10.1063/1.2841818,Protect from dirt/solids,,
,,,Bioresource Technology,https://www.sciencedirect.com/science/article/abs/pii/S0960852410014628?via%3Dihub,Chemically assemble mineral crystals,,
,,,"""Chaos, Solitons & Fractals""",https://www.sciencedirect.com/science/article/abs/pii/S0960077999001228?via%3Dihub,Differentiate signal from noise,,
,,,"Zoology,Journal of Morphology",https://www.sciencedirect.com/science/article/abs/pii/S0944200611000535?via%3Dihub https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.10974,"Manage compression,Manage shear",,
,,,"European Journal of Protistology,Cellular Membranes of Amoeba",https://www.sciencedirect.com/science/article/abs/pii/S0932473904000094?via%3Dihub,Protect from light,,
,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S0928493106003602,,,
,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S0928493100001661,Chemically break down organic compounds,,
,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S0928493100001338?via%3Dihub,Prevent fracture/rupture,,https://www.engineering.com/DesignerEdge/DesignerEdgeArticles/ArticleID/15024/Bamboo-Biomimicry.aspx
,,,"Courtesy of the Biomimicry Guild,Neurocomputing",https://www.sciencedirect.com/science/article/abs/pii/S0925231206004668,"Adapt behaviors,Move in/on liquids,Sense touch and mechanical forces in a living system",,
,,,"Behavioural Processes,Animal Friendships",,Coordinate by self-organization,,http://www.exeter.ac.uk/news/homepage/title_787828_en.html
,,,Flora,https://www.sciencedirect.com/science/article/abs/pii/S0367253016301529,,,
,,,"""Flora - Morphology, Distribution, Functional Ecology of Plants""",https://www.sciencedirect.com/science/article/abs/pii/S0367253010001015?via%3Dihub,"Store liquids,""Capture, absorb, or filter liquids""",,
,,,"""Flora - Morphology, Distribution, Functional Ecology of Plants""",https://www.sciencedirect.com/science/article/abs/pii/S0367253005001258,Protect from animals,,
,,,Journal of Thermal Biology,https://www.sciencedirect.com/science/article/abs/pii/S0306456510000276?via%3Dihub,"Maintain homeostasis,Protect from temperature",,https://www.telegraph.co.uk/news/earth/wildlife/7663160/Elephants-use-hot-spots-to-stay-cool.html
,,,Biosystems,https://www.sciencedirect.com/science/article/abs/pii/S0303264706001791?via%3Dihub,Sense sound and other vibrations from the environment,,
,,,"Comparative Biochemistry and Physiology Part A: Physiology,Journal of Experimental Biology (JEB),Annual Review of Ecology and Systematics",https://www.sciencedirect.com/science/article/abs/pii/S0300962996002708?via%3Dihub https://jeb.biologists.org/content/216/11/1961 https://jeb.biologists.org/content/217/12/2193 https://www.annualreviews.org/doi/10.1146/annurev.ecolsys.27.1.365,"Protect from ice,Protect from temperature",,https://www.thenakedscientists.com/articles/interviews/cryoprotectant-molecules-natures-anti-freeze
,,,New Scientist,https://www.sciencedirect.com/science/article/abs/pii/S0262407910625201?via%3Dihub,"""Capture, absorb, or filter chemical entities""",,https://www.newscientist.com/article/dn4244-chemistry-nobel-rewards-crucial-cell-membrane-work/
,,,Acta Biomaterialia,https://www.sciencedirect.com/science/article/abs/pii/S174270611000070X?via%3Dihub,"Chemically assemble polymers,Manage mechanical wear,Manage shear",,
,,,Plant Science,https://www.sciencedirect.com/science/article/abs/pii/S0168945211001270?via%3Dihub,"Protect from excess liquids,Protect from loss of liquids,Protect from temperature",,
,,,Biochimica et Biophysica Acta (BBA),https://www.sciencedirect.com/science/article/abs/pii/S0167483899001600?via%3Dihub,Chemically break down organic compounds,,https://www.dispatch.com/content/stories/science/2011/05/29/researchers-say-bat-could-aid-stroke-victims.html
,,,"Comparative Biomechanics: Life's Physical World,Journal of Arid Environments",https://www.sciencedirect.com/science/article/abs/pii/S0140196397903165?via%3Dihub,Control erosion and sediment,,
,,,Journal of Photochemistry and Photobiology B: Biology,https://www.sciencedirect.com/science/article/abs/pii/S101113440400079X,Protect from light,,
,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S092849310500216X?via%3Dihub,"Prevent buckling,Prevent deformation",,
,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S092849310500007X,Distribute liquids,,
,,,"Biosystems,Journal of Experimental Biology (JEB)",https://www.sciencedirect.com/science/article/abs/pii/S092523120500233X https://jeb.biologists.org/content/200/16/2209 ,,,
,,,Bioorganic Chemistry,https://www.sciencedirect.com/science/article/abs/pii/S0045206806000605,"Chemically break down inorganic compounds,Chemically break down organic compounds",,
,,,Toxicon,https://www.sciencedirect.com/science/article/abs/pii/S0041010109001585?via%3Dihub,"Modify pressure,Modify size/shape/mass/volume,Modify speed,""Capture, absorb, or filter organisms""",,
,,,"The grand design: Form and colour in animals,Journal of Theoretical Biology",https://www.sciencedirect.com/science/article/abs/pii/S0022519399909591?via%3Dihub,Protect from excess liquids,,
,,,Journal of Theoretical Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022519387800012?via%3Dihub,Move in/through gases,,http://news.bbc.co.uk/earth/hi/earth_news/newsid_8391000/8391345.stm
,,,"Comparative Biomechanics: Life's Physical World,Journal of Theoretical Biology",https://www.sciencedirect.com/science/article/abs/pii/S0022519385702196?via%3Dihub,"Disperse seeds,Distribute solids",,
,,,Journal of Theoretical Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022519311002499?via%3Dihub,Store energy,,https://www.eurekalert.org/pub_releases/2011-07/nesc-hcf071911.php
,,,Journal of Theoretical Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022519306000749?via%3Dihub https://www.jstor.org/stable/27855549?seq=1,"Manage compression,Prevent deformation",,
,,,"Comparative Biomechanics: Life's Physical World,Journal of Theoretical Biology",https://www.sciencedirect.com/science/article/abs/pii/S0022519305806320?via%3Dihub,Prevent buckling,,
,,,"Journal of Colloid and Interface Science,Science",https://www.sciencedirect.com/science/article/abs/pii/S0021979719315504?via%3Dihub https://science.sciencemag.org/content/318/5849/426,"Attach permanently,Attach temporarily",,http://zx400.blogspot.com/2010/09/wood-glue-inspired-by-mussels-chemists.html
,,,Journal of Biomechanics,https://www.sciencedirect.com/science/article/abs/pii/S0021929011007652?via%3Dihub,Manage mechanical wear,,
,,,Journal of Biomechanics,https://www.sciencedirect.com/science/article/abs/pii/S0021929010001107?via%3Dihub,Manage mechanical wear,,
,,,Journal of Biomechanics,https://www.sciencedirect.com/science/article/abs/pii/S0021929009005740?via%3Dihub,"Chemically assemble organic compounds,Manage mechanical wear,Modify material characteristics,Optimize shape/materials,Physically assemble structure",,
,,,"Journal of Biomechanics,Mechanical Engineering-CIME",https://www.sciencedirect.com/science/article/abs/pii/S0021929003001301?via%3Dihub https://www.thefreelibrary.com/Thoroughbred+structures%3A+an+unusual+bone+configuration+in+horses...-a098954045,"Distribute energy,Manage compression",,
,,,International Journal of Parasitology,https://www.sciencedirect.com/science/article/abs/pii/S0020751910003450?via%3Dihub,"Respond to signals,""Sense chemicals (odor, taste, etc.) from the environment""",,
,,,Carbon,https://www.sciencedirect.com/science/article/abs/pii/S0008622310007785?via%3Dihub,"Maintain homeostasis,Modify light/color",,
,,,"Animal Behaviour,Waterbirds,Journal of Avian Biology,Comparative Biomechanics: Life's Physical World",,"Distribute liquids,Move in/on liquids,""Capture, absorb, or filter organisms""",,
,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347213003308?via%3Dihub,,,https://www.bbc.com/news/science-environment-14669012
,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347211000960?via%3Dihub https://royalsocietypublishing.org/doi/full/10.1098/rspb.2010.1739 ,Coordinate by self-organization,,https://www.nytimes.com/2020/03/02/science/animals-voting-elections.html
,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347210000321?via%3Dihub,"Navigate over land,""Sense chemicals (odor, taste, etc.) from the environment""",,http://news.bbc.co.uk/earth/hi/earth_news/newsid_8539000/8539525.stm
,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347209004606?via%3Dihub,"Manage impact,Protect from animals",,
,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347207002503?via%3Dihub,Adapt behaviors,,
,,,Animal Behaviour,https://www.sciencedirect.com/science/article/abs/pii/S0003347200915422?via%3Dihub,"""Send chemical signals (odor, taste, etc.)""",,
,,,Advanced Drug Delivery Reviews,https://www.sciencedirect.com/science/article/abs/pii/S0169409X05001390?via%3Dihub,Attach temporarily,,
,,,"Materials Science and Engineering,Philosophical Transactions of the Royal Society A",https://www.sciencedirect.com/science/article/abs/pii/0928493195001158?via%3Dihub https://www.jstor.org/stable/36378?seq=1,,,
,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/0928493194900396?via%3Dihub,Prevent buckling,,https://www.nsf.gov/awardsearch/showAward?AWD_ID=0408259
,,,"Courtesy of the Biomimicry Guild,Physics Letters B,Journal of Thermal Biology,Physiological Zoology,American Journal of Physiology",,Protect from temperature,,
,,,"Fuel and Energy Abstracts,Journal of Experimental Biology (JEB)",https://www.sciencedirect.com/science/article/abs/pii/0140670196888795?via%3Dihub https://jeb.biologists.org/content/135/1/431,Move in/through gases,,
,,,"Insects of the World,Tissue and Cell",https://www.sciencedirect.com/science/article/abs/pii/0040816674900044?via%3Dihub,"Modify light/color,Send light signals in the visible spectrum",,
,,,"Journal of Insect Physiology,Frontiers in Zoology,South African Journal of Science,Oecologia,The European Physical Journal E,Science,Atmospheric Research,Journal of Arid Environments,Nature,Nano Letters,Evolution,Bioinspiration & Biomimetics,Applied Surface Science",,"Adapt behaviors,""Capture, absorb, or filter liquids""",,
,,,"Journal of Insect Physiology,New Journal of Physics,Applied Physics Letters,Nature",https://www.sciencedirect.com/science/article/abs/pii/0022191073900644?via%3Dihub https://iopscience.iop.org/article/10.1088/1367-2630/10/3/033014 https://aip.scitation.org/doi/10.1063/1.3486115 https://www.nature.com/articles/238160a0,"Modify light/color,Sensing atmospheric conditions",,
,,,"Comparative Biomechanics: Life's Physical World,Journal of Biomechanics,American Zoologist",https://www.sciencedirect.com/science/article/abs/pii/0021929079901283 https://www.jstor.org/stable/3882752?seq=1 ,Manage tension,,https://ib.berkeley.edu/labs/koehl/pdfs/Sci_Am_1982.pdf
,,,"Zoo and Wild Animal Medicine,Emu - Austral Ornithology",https://www.publish.csiro.au/mu/MU9880123,Manage impact,,
,,,PNAS,https://www.pnas.org/content/early/2020/03/18/1919607117,Prevent deformation,,https://engineering.princeton.edu/news/2020/03/20/mechanical-forces-shape-bacterial-biofilms-puzzling-patterns
,,,"PNAS,Annual Review of Immunology,General and Comparative Endocrinology",https://www.pnas.org/content/early/2010/10/11/1008768107/tab-article-info https://www.annualreviews.org/doi/10.1146/annurev.iy.13.040195.000425 https://www.sciencedirect.com/science/article/pii/S0016648011003935?via%3Dihub,,,https://www.eurekalert.org/pub_releases/2010-10/pues-nsd101910.php
,,,PNAS,https://www.pnas.org/content/early/2009/12/01/0908205107,Chemically assemble mineral crystals,,https://www.eurekalert.org/pub_releases/2009-11/dlnl-swa112309.php
,,,PNAS,https://www.pnas.org/content/112/16/4976,Attach permanently,,
,,,PNAS,https://www.pnas.org/content/112/16/4976,Manage tension,,
,,,PNAS,https://www.pnas.org/content/109/52/21289,"Manage shear,Move in/on solids",,https://issuu.com/eggermont/docs/zq_issue_12/18
,,,PNAS,https://www.pnas.org/content/109/46/18674,Transform radiant energy (light),,"http://pubsapp.acs.org/cen/science/84/8414biolum.html?
https://www.chemistryworld.com/research/fireflies-inspire-low-cost-led-lighting/5573.article"
,,,PNAS,https://www.pnas.org/content/109/46/18674,"Distribute energy,Navigate through air",,https://www.chemistryworld.com/research/fireflies-inspire-low-cost-led-lighting/5573.article
,,,PNAS,https://www.pnas.org/content/109/39/15712,"Modify light/color,Send light signals in the visible spectrum",,
,,,PNAS,https://www.pnas.org/content/109/12/E690,Attach permanently,,http://www.ox.ac.uk/news/science-blog/flesh-eating-bacteria-inspire-superglue
,,,"PNAS,Nature",https://www.pnas.org/content/108/Supplement_2/10831 https://www.cs.unm.edu/~forrest/classes/cs365/readings/feldman-rock-scissors-paper.pdf ,"Cooperate/compete between different species,Protect from microbes",,"https://www.eurekalert.org/pub_releases/2011-06/uow-bdr062011.php
https://www.eurekalert.org/pub_releases/2011-06/uow-bdr062011.php
"
,,,PNAS,https://www.pnas.org/content/108/46/18726,"Coordinate by self-organization,Navigate through liquid,Respond to signals",,
,,,"Ecology,Ecological Applications,PNAS",https://www.pnas.org/content/108/41/17034 https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/06-0409.1 https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/2265614,,,
,,,PNAS,https://www.pnas.org/content/108/41/17028,"Chemically assemble polymers,Protect from chemicals",,
,,,PNAS,https://www.pnas.org/content/108/38/15978,,,https://www.sciencedaily.com/releases/2011/09/110919151306.htm
,,,PNAS,https://www.pnas.org/content/108/34/E550,"Attach temporarily,Move in/on liquids",,
,,,PNAS,https://www.pnas.org/content/108/27/11291,"Sense balance/orientation,Sense motion",,https://www.bbc.com/news/science-environment-13809148
,,,PNAS,https://www.pnas.org/content/108/23/9356,"""Capture, absorb, or filter liquids""",,
,,,PNAS,https://www.pnas.org/content/108/16/6497,"Cooperate/compete between different species,""Capture, absorb, or filter energy"",""Capture, absorb, or filter gases"",""Capture, absorb, or filter organisms""",,https://www.nature.com/news/2010/100730/full/news.2010.384.html
,,,PNAS,https://www.pnas.org/content/108/14/5897,"Catalyze chemical breakdown,Protect from animals",,
,,,PNAS,https://www.pnas.org/content/108/14/5516,"Modify position,Modify size/shape/mass/volume",,http://news.bbc.co.uk/earth/hi/earth_news/newsid_9429000/9429516.stm
,,,PNAS,https://www.pnas.org/content/108/11/4322,"Manage compression,Manage tension,Modify material characteristics",,https://www.eurekalert.org/pub_releases/2011-03/uom-str030111.php
,,,PNAS,https://www.pnas.org/content/108/9/3653 https://www.pnas.org/content/108/24/E198.full ,"Modify material characteristics,Modify phase",,
,,,PNAS,https://www.pnas.org/content/108/8/3175,Chemically assemble mineral crystals,,https://schaechter.asmblog.org/schaechter/2011/05/hard-biology.html
,,,PNAS,https://www.pnas.org/content/108/6/2184,"Adapt phenotype,Optimize shape/materials,Regulate cellular processes",,
,,,PNAS,https://www.pnas.org/content/108/3/995,"Chemically assemble polymers,Protect from excess liquids,Protect from gases",,
,,,PNAS,https://www.pnas.org/content/107/44/18903.full,"Modify position,Optimize shape/materials",,
